Rank,Order,Thiaminase,,,,,,Order,Thiaminase
40,Acanthuriformes,,,,,,[1],Acanthuriformes,NA
34,Acipenseriformes,,,,,,[3],Acipenseriformes,present
2,Anguilliformes,,,,,,[5],Albuliformes,absent
35,Albuliformes,,,,,,[7],Alepocephaliformes,NA
55,Amiiformes,,,,,,[9],Amiiformes,absent
36,Anabantiformes,,,,,,[11],Anabantiformes,absent
20,Anguilliformes,,,,,,[13],Anguilliformes,absent
28,Atheriniformes,,,,,,[15],Argentiniformes,NA
19,Aulopiformes ,,,,,,[17],Ateleopodiformes,NA
54,Batrachoidiformes,,,,,,[19],Atheriniformes,present
30,Beloniformes,,,,,,[21],Aulopiformes,absent
50,Blenniiformes,present,Ovalentaria,,,,[23],Batrachoidiformes,absent
44,Carangaria,,,,,,[25],Beloniformes,present
38,Carangiformes,,,,,,[27],Beryciformes,NA
51,Carcharhiniformes,absent,Elasmobranchii,,,,[29],Carangiformes,absent
3,Centrarchiformes,,,,,,[31],Centrarchiformes,absent
49,Ceratodontiformes,,,,,,[33],Characiformes,present
23,Characiformes,,,,,,[35],Cichliformes,present
37,Chimaeriformes,absent,Holocephali,,,,[37],Clupeiformes,present
27,Cichliformes,,,,,,[39],Cypriniformes,present
1,Clupeiformes,,,,,,[41],Cyprinodontiformes,present
45,Coelacanthiformes,absent,Sarcopterygii,,,,[43],Elopiformes,present
8,Cypriniformes ,,,,,,[45],Ephippiformes,NA
26,Cyprinodontiformes,,,,,,[47],Esociformes,present
31,Elopiformes,,,,,,[49],Gadiformes,present
7,Esociformes,,,,,,[51],Galaxiiformes,NA
10,Eupercaria,,,,,,[53],Gobiiformes,absent
6,Gadiformes,,,,,,[55],Gonorynchiformes,present
43,Gobiesociformes,absent,Ovalentaria,,,,[57],Gymnotiformes,present
14,Gobiiformes,,,,,,[59],Hiodontiformes,NA
24,Gonorynchiformes,,,,,,[61],Holocentriformes,absent
25,Gymnotiformes,,,,,,[63],Incertae_sedis_in_Carangaria,absent
48,Holocentriformes,,,,,,[65],Incertae_sedis_in_Eupercaria,present
52,Kurtiformes,,,,,,,Incertae_sedis_in_Ovalentaria,present
39,Lamniformes,absent,Elasmobranchii,,,,,Istiophoriformes,NA
11,Lepisosteiformes,,,,,,,Kurtiformes,absent
18,Lophiiformes,,,,,,,Labriformes,absent
21,Mugiliformes,,,,,,,Lampridiformes,NA
46,Ophidiiformes,,,,,,,Lepidogalaxiiformes,NA
41,Orectolobiformes,absent,Elasmobranchii,,,,,Lepisosteiformes,present
13,Osmeriformes,,,,,,,Lophiiformes,absent
32,Osteoglossiformes,,,,,,,Mugiliformes,absent
29,Ovalentaria,,,,,,,Myctophiformes,NA
9,Perciformes,,,,,,,Notacanthiformes,NA
12,Petromyzontiformes,present,Cephalaspidomorphi,,,,,Ophidiiformes,absent
15,Pleuronectiformes,,,,,,,Osmeriformes,present
42,Polypteriformes,,,,,,,Osteoglossiformes,present
22,Rajiformes,absent,Elasmobranchii,,,,,Pempheriformes,NA
4,Salmoniformes,,,,,,,Perciformes,present
16,Scombriformes ,,,,,,,Percopsiformes,NA
5,Siluriformes,,,,,,,Pholidichthyiformes,NA
17,Squaliformes,absent,Elasmobranchii,,,,,Pleuronectiformes,absent
47,Synbranchiformes,,,,,,,Polymixiiformes,NA
33,Syngnathiformes,,,,,,,Polypteriformes,present
53,Tetraodontiformes,,,,,,,Salmoniformes,present
,,,,,,,,Scombriformes,present
,,,,,,,,Siluriformes,present
,,,,,,,,Spariformes,NA
,,,,,,,,Stomiatiformes,NA
,,,,,,,,Stylephoriformes,NA
,,,,,,,,Synbranchiformes,absent
,,,,,,,,Syngnathiformes,present
,,,,,,,,Tetraodontiformes,absent
,,,,,,,,Uranoscopiformes,NA
,,,,,,,,Zeiformes,NA
